	영화리뷰	label
1683	나타샤 100점 짜리 졸업작품	1
1684	잘보았습니다....	1
1685	액션이 화려하고 재밌어요	1
1686	역시  돈 많이 들인  영화가 재밌네요	1
1687	블랙 위도우의 서사를 볼 수 있어서 좋았습니다.	1
1688	맨날 마블 영화에서 뭉뚱그려지던 나타샤의 서사가 자세히 드러나서 좋았고 여성들간의 관계, 액션이 정말 인상적이었다.	1
1689	블랙위도우의 마지막 활약...ㅠㅠ	1
1690	영화 끝나고 옐레나 등에 업고 나옴	1
1691	솔직히 말하면 근래 본 마블 영화중에 제일 최악이었음	0
1694	드디어 블랙위도우가 나왔다. 배우들간 케미도 좋고 액션도 시원하고 존잼이엇다	1
1698	그냥 10점보다 더 주고싶음 액션 스케일만큼은 모든 영화 마블 못따라감 ㅇㅇ	1
1701	안녕... 노마노프...	1
1702	ost며 서사며 역시 모든게 완벽하고 개봉까지1년을 더 기다리며 기대치가 높아졌는데 그보다 더 만족한 영화.	1
1703	역시 너무 재미있었어요 ㅠ 블랙위도우에 대해 더 자세히 알게 된 점 너무 좋아요	1
1704	배우님 수고하셨습니다ㅠㅠ내 마블 최애캐	1
1706	이거 나도 낚인건가나만 당할수 없다 평점???!!9점???!!!나 리뷰 처음 써본다 너무 억울해서	0
1707	블랙위도우 최고 최고 최고	1
1709	4dx 추천합니다.완전 재있어요~~	1
1710	보는 내내 와 라는 소리가 안 멈춤	1
1712	마블 팬으로서 블랙위도우의 과거를 한 영화로 보게 되어서 너무 기뻤습니다. 블랙위도우 너무 좋아했는데 이제 못 보니 너무 아쉬워요ㅠㅠ	1
1713	액션 스토리 캐릭터 뭐 하나 빠짐 없이 최고	1
1714	역대급 얙션, 스토리. 어벤져스 시리즈 중 최고다. 시간 떼우러 갔다가 감동했다.	1
1715	정말 재밋어요	1
1718	재밌어요 육탄전 눈이 즐거움	1
1719	진짜 믿고보는 마블!!!다른 말은 필요없음	1
1720	이거는 말할필요가없지...역시 마블은 영원한마블이지꼭보시길바래요^^	1
1722	영화 볼만해요 ㅎㅎㅎ 언능 보세요~!	1
1724	감동적이고 액션 짱…입니다	1
1725	재미가 없어요ㅜㅜ보다 말음	0
1727	진짜 개꿀잼.. 마블 너무 사랑해ㅠㅠㅠ	1
1728	너무 재미있어요 주변에서 재미없고 해도 많이 기대하고 봤는데 욕시 마블 역시 스칼렛 연기 지립니다 팬티 2장씩 준비하세요	1
1731	액션이 멋있네요 빌런이 약한게 아쉽습니다	1
1732	성착취의 역사와 빨간약의 메타포.. 디즈니식 페미니즘은 해가 지날수록 진화하고 있다	1
1734	믿고 보는 마블. 마지막엔 마블 팬이라면 감동 안 받을 수 없는 선물까지.	1
1735	블랙위도우 그동안 고생했습니다~!	1
1736	액션도 별로고 보스도 별로고 스토리도 별로고 어벤져스 생각하고 보면 큰일납니다	0
1737	진부하다. 딱 재미없는 신파극임	0
1739	너와 함께봐서 좋았다. 사랑해	1
1740	액션도 좋고 주인공의 연기도 훌륭했습니다	1
1741	배우들의 열연과 제작진들의 열정이 보였습니다	1
1743	너무 재미있어요  꼭 보세요 다들,,!!	1
1744	가족들  케릭터가 확실해서 더 재미있었다  나타샤~~~ 잘가 ㅜㅜ  마블은 사랑입니다 나타샤 동생  진짜 매력터짐  아빠도 매력터지고	1
1746	엔드게임보고 기대치가 너무컸나..이렇게 지루할수가ㅜㅜ	0
1749	스칼렛 요한슨  보러갔다가 플로랜스 퓨란 보석을 발견했네요.	1
1750	초딩들이나 10대 애들 이나 또는 지적 낮은 애들이 보기에 적합한 영화네 음 ..성인들이 보기에는 너무 유치하고 노잼이다...그러므로 평점 1점 ㅋㅋㅋ	0
1751	뜬금없는 케리터에서 어떤 이야기를 가지고 있는 인물인지 확실히 알게됨	1
1752	오랜만에 마블이라 그냥 좋았음개연성이 좀 부족해도 액션이 커버해줌.	1
1754	3번째 보고있습니다. 신선하며 슬프고 감동적이예요.	1
1756	너무너무재미있고 시원한 영화였습니다	1
1757	ost 진짜 개좋음 ㅠㅠ유ㅠ유 후유증 남아써요	1
1759	나만 죽을수 없다는건가...평점이 왜이리 높지? 와...진짜 별한개도 아까운 영화였음...	0
1763	Tv에서 보면 좋은 내용...	0
1766	액션은 진짜~~~ 굿뜨	1
1768	추격씬 낙하씬 이 것만으로도 본전 뽑는다	1
1769	엔드 게임에서 블랙위도우가 맘 편히 (?) 목숨을 내놓은 이유를 알게된 것 같았다. 그렇게 후련한 블랙위도우는 처음 본 느낌 !그리고 역시 액션은 짱짱 ㅎㅎ 솔직히 외계인도 상대하는데 레드룸은 가볍게 처리 해야하는게 맞지…(상대적 짬밥ㅎ) 재밌게 봐서 또 보고 싶다.	1
1770	항상 궁금했던 블랙 위도우의 이야기가 조금은 풀린 거 같아서 좋았다. 그리고 이번 블랙 위도우가 좋았던 이유 중 하나는 시빌워 이후 시간선을 잘 썼다는 거다. 궁금했던 그 사이의 이야기를 잘 파고 들어서 스토리 라인을 잘 만든 거 같다. 나타샤는 도망 다니는 기간 이런 일이 있었구나 잘 알게 되었다. 스토리가 의외로 다크 해서 놀랐는데 간간이 있는 웃긴 장면이 과하지도 않고 적절해서 잘 정화시켜준 거 같다. 블랙 위도우 보러 갔다가 옐레나가 너무 매력적이었다. 옐레나에 빠지고 옴ㅋㅋ 쿠키 영상 보니 옐레나가 후속편이 나오면 주인공일지 모르겠다. 어린 시절 끌려가서 위도우가 되는 과정을 보고 싶었는데 이건 아쉬웠다. 이제 시작인 줄 알았는데 만나자마자 이별이라니 시원섭섭했다. 엔딩 크레딧 다 올라가고 쿠키 영상 있으니 기다렸다가 꼭 보고 나오시길!	1
1772	너무나도 멋진배우 ㅎ영화도 존잼	1
1774	마블! 역시 시작~종료 까지 눈을 떼지않고 봤읍니다  믿고 보세요	1
1775	스칼렛 요한슨 사랑해요. 블랙위도우 사랑해요 진짜 오랜만에 영화다운 영화 본듯. 넘 멋있다 울언니 최고…	1
1776	말해뭐해~예쁜언니들의 화려한 액션과 영상미간간히 터지는 유머씬	1
1777	또 보고싶당 또 보고싶당	1
1778	영화 개봉전 너무 많은 예고편이 나와 좀 우려 했지만 역시 마블은 실망시키지 않네요. 상영시간 내내 몰입해서 봤습니다. 그러나 나타샤 로마노프의 서사를 깊이 있게 풀어내지 않은건 좀 아쉽네요. 굿바이~스칼렛 요한슨!!	1
1779	스토리도좋고 영상미도 좋아요. 특히 액션씬대박	1
1781	친구들이 보자해서 아이언맨,캡틴충이라 별로일거같다고 했는데 막상 가서 젤 재밌게 봤습니다.	1
1782	마블 영화중 역대급...블위 살려내라	1
1783	개인적으로  재미있지는 않음 .	0
1785	굿바이 나타샤 로마노프	1
1787	눈물 찔끔 흘리고 왔어요진짜 재미있었습니다!	1
1788	역시 최고 역시 역시 기대한대로 !	1
1789	어벤져스 시리즈 치고는 약합니다	0
1790	블랙위도우가 1편 밖에 없다는거랑,스칼렛 요한슨은 마블에서는 끝이라는 점이 아쉽다	1
1793	빔쏘는 cg가 아닌 ㄹㅇ격투극이랑 다 부수고 돌진하는 자동차 오토바이 추격씬으로 가득차서 오히려 액션이 압도적이었음. 캡아 시리즈 격투극 좋아하면 강추함. 그리고 스파이 특성상 언제 적이 튀어나올지 모르겠는 쫄깃한 긴장감이 몰입력을 증폭시킴. 스토리전개도 시원시원해서 시간가는줄 몰랐음ㅊㅊ배우들 연기 진짜 모두 개잘했다ㅠ고생했다 연출팀도 감독도..블위 짠내ㅠㅠㅠㅠ	1
1794	형말들어라. 나중에 ocn에서 봐라	0
1795	이해할수없는전개 내용이 무슨내용인지 모르겠음위도우들 풀어준게ㅜ뭐 어쩌라는건지보지마요 돈아까워요	0
1796	시작 할때, 마블 브금이랑 끝날 때 마블 브금 쩔어요ㅠ	1
1798	노잼 개연성도 떨어지고 현실 고증 안되는것들도 많고 cg처리도 떨어지고 억지 감동까지 b급 영화느낌... 중간중간 영화관 떠낙? 싶었음 시작부터 20분정도만 보기 좋은듯	0
1799	굿바이 요한슨 ㅠㅠ 나이스 밋츄 퓨!!	1
1800	마블 안 좋아하는데 이거 보고 마블 정주행 각 세움	1
1801	과거 나타샤 남자아이인줄	1
1803	블랙위도우가 열어젖힌 마블시네마틱유니버스의 2막 그것만으로 의미있는 영화였고 전반적으로도 마블 역대 영화들 중 손에 꼽히게 잘 나온 영화라고 생각 적당히 다크하고 적당히 유쾌하고 밸런스가 잘 잡혔다 판타지적인 요소가 많이 덜어진 현실적인 전투방식도 블랙위도우의 격투씬을 보는 묘미 마블의 강력하고 시원한 초자연적 수퍼히어로들의 전투도 너무너무 좋아하지만 이렇게 맨몸으로 기술과 지략을 사용하는 통쾌함도 좋다	1
1805	꿀잼 너무너무 재미있습니다	1
1806	정말 최고입니다!! 역시 블랙위도우!	1
1808	굿굿굿굿구 멋있어 최고야	1
1809	샤랄라 해독제다~~~~뿅~~~♡	0
1810	캐스팅 찰떡 ㅠㅠ 한순언니 감정연기는 역싀...??	1
1811	마블 영화중에 가장 사람,인간에 대해 얘기하는 인간적인 영화이다. 역할 한명 한명이 다 살아있고 매력적이였다. 무엇보다 섹시하고 매력있고 진중하게 블랙 위도우를 이끌어간 스칼렛 요한슨에게 박수를 쳐주고 싶다	1
1812	재미있는 바톤터치	1
1813	아왜난 너무재밌었지….	1
1814	블로거들 리뷰로 겁나 까내기리 하던데... 무시하는게 답... 마블빠면 무조건 봐야함.... 간만에 마블영화 ㅠㅠ 너무 반가웠음 ㅠㅠ 무조건 보세요~~~ 마블영화자나아아아	1
1815	블랙위도우… 최고 ㅜㅜ	1
1816	오프닝 부터 눈물이 줄줄 블랙위도우의 삶에 대한 안타까운 마음과 마지막 쿠키영상까지 감동 액션 영상미 음악 연기 등 모든걸 잘 살린 영화역시 믿고보는 마블 믿고보는 연기력	1
1817	블위 살려내...ㅠㅠ	1
1818	너무 재밌어요	1
1819	35살 남자. 미혼. 여자친구와 아주아주 재미있게 봤습니다	1
1820	옐레나로 눈호강 했습니다~  보면볼수록 이쁘네	1
1823	너무 재미있습니다	1
1824	기대했던 것 이상이에요 블랙위도우 영화를 볼 수 있어 행복했어요	1
1825	레전드몰입감도 있고 액션신도 너무 좋았다스토리도 굿역시 마블	1
1826	스토리도 탄탄하고 볼거리도 풍부한 뭐하나 빠지는것 없었던 작품입니다. 특히 액션 신이 볼만하고 스칼렛 요한슨의 명연기가 돋보이네요. 감동과 여운이 남는 영화입니다.	1
1828	진짜 엄청 기다리고 기대했는데 기대보다도 더 좋았어요 스칼렛 너무너무 여전히 멋있고 퓨랑 둘이 케미 너무 좋아요ㅠㅠㅠㅠ	1
1829	영화 두 번씩 안 보는데 이건 두 번 봄굿즈도 받음액션 속시원	1
1830	1대 블랙위도우의 마지막으로 손색 없는 영화	1
1832	마블영화 보다가 딴영화는 액션퀄리티가 낮아서 못보겠음.확실히 마블은 마블이다 그리고 스칼렛 액션연기도 좋고~	1
1833	평점이 9.0 이라니.. 적어도 9.5는 나와야지.	1
1835	액션 짱!!!! 블랙위도우 마지막이라니 아쉽습니다.	1
1836	이걸 재밌다고 하는 사람들은 제정신인가 싶다	0
1838	마블영화중 최고!주기적으로 쭉 봐야할영화	1
1839	진짜 되게 재밌어요!!  저는 남친이랑 보러 갔는데.. 진짜 되게 재밌음	1
1840	믿보마	1
1841	진짜 너무 재미없다…..	0
1842	1차만 하기 아쉬운 영화같아요, 2차 가야겠어요.	1
1843	등장인물의 90프로가 여자이고 그 사람들이 모두 액션을 한다는 게 가장 인상깊게 본 포인트 였고 역시 마블이네요 재밌습니당	1
1844	와 이거 오늘 친구하고 같이 봤는데 완전 재미있어...요한슨 이쁜건 알고 연출도 좋고 OST도 제취향이고 연기도 좋고 블랙 위도우 액션신도 좋아	1
1845	후퇴하라...마블간판믿고 봤는데 이건좀 너무하네마블영화가 개봉 1주일만에 1위 내준거면 이유있다	0
1846	너무너무너무 재밌어요!!! 강추	1
1847	와 기대한민큼 재밌어요	1
1848	진짜 재미없음...스토리도 너무 뻔하고 빌런도 매력없고.. 1점 정도는 아닌데 평점이 예상보다 너무 높아서 1점	0
1853	마지막 공중전은 정말..	1
1854	나의10대 20대의 마블이 끝나고 이제 30대의 마블 시작이다...	1
1855	씬 하나하나가 그렇게 아쉽고 애틋하다. 끝을 알아서일까 어떤 캐릭터보다도 절절함 토니처럼 스타도 아니었고 슈퍼히어로들 사이에서 인간 그 자체로 감당하며 살았을 나타샤의 고뇌가 다크한 분위기랑 맞물려서 여운이 오래감 이거 잘되면 2편도 다른 시점으로 찍어주면 안되나? 너무 늦게 나온 작품.	1
1857	재밌게 봤음 어벤저스 엔드게임에서 죽은걸 생각하니 좀 아쉬웠음...	1
1858	오랜만에 본 마블 영화 액션씬이 많아서 친구들이랑 재밌게봤어요!! 추천합니다	1
1860	역띠 마블 ㅠ 액션 장난없어요	1
1861	너무 좋은 영화ㅠㅠ 또 보고싶다ㅠㅠ	1
1862	스토리부터 액션까지 너무 완벽했고 쿠키영상은 더 미쳤다...	1
1863	코로나 이후에 본 영화 중 최고였다	1
1864	너무 재미있게 봤어요ㅠㅠ2차 때리러 갑니다!	1
1867	나타샤 연기 최고임. 보면서 계속 닭살 돋으면서 본 듯	1
1868	쿠키 영상 맘 아팠음 시즌 투 나오길	1
1872	마블은 내 인생과도 같다	1
1876	방금 IMAX로 보고 왔습니다.남산의 부장들 이후로 1년 반만에 영화감상...첫 로고 부터 마블 시작영상까지... 감동ㅜㅠ	1
1877	진짜 역시 기대를 져버리지 않는 마블 영화..블랙위도우의 모든 히스토리를 다 담고 있어서 마블덕이라면 꼭 봐야 하는 영화입니다…	1
1879	여자들이 많이 살아 남아서 너무 좋았다 자 이제 2탄 내놔라	1
1885	폼만 잡는 블록버스터가 아닌 괴짜가족들의 코믹스런 가족애가 돋보이는 캐릭터들이 살아있는 훌륭한 짜임세의 잘만든 액션영화	1
1886	스칼렛 요한슨이 다함 스칼렛 요한슨이 아니었다면 절대 불가능 했을 캐릭터 제발 여기엔 거지같은 캡틴 페미 안 묻혔으면 좋겠다	1
1887	사랑해요 요한슨....	1
1889	블랙 위도우 액션이나 연기 만으로도 어느 정도 만족 하면서 봄.	1
1891	스토리가 너무 완벽하게 이어져서 보는내내 계속 감동 받았습니다. 감사합니다.	1
1892	빌런의 존재감은 먼지보다 가볍고 액션은 기대이하였다. 그럼에도 이 영화가 좋은 이유는 블락 위도우를 위한 마지막 헌사이자 새로운 매력덩어리 캐릭터 옐레나의 신고식이기 때문. 앞으로의 마블이 기대된다.	1
1893	역시 아묻따 블랙위도우 체고	1
1894	스칼렛요한슨 언니 어벤져스에서 계속 보고 싶음,, 살려네!!! ㅠㅠ	1
1895	엔드게임에서 죽기엔 넘 매력적인 캐릭터 ㅠㅠ	1
1897	6점대 영화 평점 너무 높아서 1점 드립니다.재미는 없어요.. 이게 재밋다고 한다면 다른 영화들은 훨씬 재밌을겁니다	0
1898	스토리도 존잼이고 걍 여자들이 다 했네	1
1900	삿댐미다 진짜 너무 쟈미써요	1
1903	마블 영화 중 최악시간이 썩어나면 보시길	0
1904	오랜만에 시원하고 스펙타클 영화보니 스트레스 많이 풀렸어요 무야호	1
1905	꼭보세요!!	1
1906	한마디로 그냥 존잼 !!!또볼래요…	1
1907	오랜만에 마블영화라 더 재미있네요 잘봤습니다	1
1908	뭐지? 이런 망작을 마블이 만들었다고? 블위가 똥을 뿌리고  가는구나...	0
1909	와 진짜 최악. 감동적인 거 원하면 그나마 낫는데 일반액션영화 원하면 본시리즈는 개뿔 그냥 재활용도 불가한 영화	0
1910	진짜 너무 재밌어요ㅠㅠ 개그요소도 깨알처럼 들어가있는데, 생각보다 넘 웃기기도 하고ㅋㅋㅋ 액션도 진짜 좋고 감동도 있고... 나무랄데 없는 영화였네요. 2편 나왔으면 ㅠㅠ	1
1911	진짜 후회 없이 봤던 영화	1
1912	스칼렛 요한슨과의 작별 서사. 헤어진다고 생각하니 아쉬웠습니다. 영화도 꽤 괜찮았어요.	1
1913	어벤저스 시리즈 중에서도 최고네요특히 화려한 액션씬 영상미 탄탄한줄거리 짱이에요♡	1
1914	블랙위도우의 서사를 알게되서 좋았고 재밋었어요	1
1916	전체적으로 별로스토리도 액션도 그래픽도..B급 액션코미디	0
1917	액션 지렷다.. 여기서 찾게 된 가족애가 나중에 거침없이 절벽을 뛰어내려 희생하지 않았을까?	1
1918	요한슨 그리울거에요ㅠㅠ	1
1919	기다린 보람이 있음 굿굿	1
1920	액션도 신나고 꽤 웃기고 감동까지! 남녀노소 모두 볼 수 있는 가족영화입니다 ^^b 강력 추천해요~~~~ 이런 액션 영화관에서 놓치면 손해입니다~~~~	1
1921	나타샤보다 옐레나에 좀 더 포커스가 간 느낌을 안받을수없지만 나타샤 본것만으로도 의미가 있는 영화.. 공중액션 너무 멋있었어요. 그리고 엔드게임에서 한도 풀었음 ㅠㅠ	1
1922	진짜 개재밌음 2번봐도 아깝지 않은 영화!!	1
1923	다른것도 좋지만 개인적으로 오프닝이 제일 좋았다	1
1924	블랙위도우만을 위한 영화, 오직 블랙위도우만 할 수 있는 영화	1
1927	아 또보고싶다두 번 보고 세 번 보고 백 번 싶다사랑해요 마블	1
1928	너무 재밌게 잘 봤습니다! 꼭 보세요	1
1934	역시 여주 영화는 노잼. 마블이라 의무적으로 본것이지만 여자액션의 한계는 분명히 존재	0
1935	이건 뭐 스토리 폭망이죠..팝콘 각도 아니고..액션씬도 딱 WWF...ㅎㅎ 수다맨이 슈퍼히어로하면 딱이겠더라고요..뭔 주저리주저리 말만 드럽게 많고요..설명충 진지충.. 개그코드는 뻔한 클리셰...스칼렛 요한슨은 이 영화를 찍지 말았어야 했다고 개인적으로 생각합니다..감상포인트를 추천할 게 없어서 그냥 OST추천함다. 눈 감고 음향감상하세요.	0
1937	진짜 미쳤는데? 액션 말도 안됨.. 침 흘리면서 봤어요 최근에 제일 의미있는 2시간 보냈어요	1
1938	너무 재밌어용 마블 안 보는데 재밌게 봤습니당	1
1941	블랙위도우의 어린 시절과 가족 이야기를 볼 수 있어서 좋았습니다. 스칼렛 요한슨은 정말 최고의 배우... 액션 뿐만 아니라 표정 연기로도 관객을 압도해요. 앞으로의 마블 영화에서 플로렌스 퓨가 어떻게 등장할지도 기대됩니다.	1
1942	솔직히 잼있냐ㅡㅡ  구라적당히..에효	0
1944	최고다 연출, 스토리, 연기, 액션 모두	1
1946	블랙위도우 캐릭터로 풀 수 있는 스토리가 얼마나 많은데 이번편이 처음이자 마지막 솔로무비라는게 믿을 수 없다. 블랙위도우2 나와야되는데ㅠㅠ 액션씬 너무 멋있고 최고다.	1
1947	액션씬이 기대이상이었음. 스칼릿 요한슨의 마지막 블랙위도우라 벌써 아련함..  ㅜㅡㅜ	1
1951	우리 한순이 누나 고생진짜많았닼.  다음블랙위도우는 플로렌스?  아니 쿠키가 왜이러세요?!라고 할정돈데ㅋㅋ   이거 필시 디플 공개 드라마할때 헤일리 스타인펠트 케이트비숍이랑 싸우자는 거잖아요ㅋㅋㅋ 우리 바튼형님 그냥 곱게 보내주자ㅋㅋ	1
1952	액션폭발진짜 멋진뇨자	1
1953	완전 꿀잼, 감동적임 꼭 보시길 손에 땀을 쥠	1
1954	스칼렛 요한슨으로 시작해서 스칼렛 요한슨으로 마무리 했네요 ^^	1
1956	완전 재밌게 봤어요 저는. 제일 많이 속상하고 아쉬웠던건 어벤져스 앤드게임에서 나타샤의 액션을 볼 수 없던게 진짜 너무 속상했는데 이렇게라도 볼 수 있어서 한풀이 했어요. 이제 마블에서 스칼렛 요한슨을 볼 수 없다는게 아직 실감이 안나요. 그동안 너무너무 고생 많으셨고 수고하셨어요!	1
1957	좋았다...블랙위도우가 어떤 곳에서 어떤훈련을 받고잇었는지 어린시절 등등 굴금했는데 다 해결됐다.인피니티 다시봐야겠다. 이 세계관에서 이제 없다고 생각하니 너무 슬퍼..아이언맨도..에휴 .ㅜ영원한건없어.	1
1958	굳이 아맥으로는 안봐도 될듯.	1
1959	최고의 영화입니다 강추	1
1961	스칼렛 요한슨 사랑해요	1
1964	마블 시리즈 중 최고에 속한다고 말하고 싶다.	1
1967	너무 재밌음 한 번더 보고싶을정도	1
1971	나타샤 이렇겐 못 보낸다 나타샤 최애인 분들은 휴지 준비하고 가세요 엔드게임 생각나서 그냥 계속 눈물 남	1
1972	싱글벙글 우당당탕 못 말리는 마블가족의 유쾌한 이야기	0
1974	연출 액션 연기 모두 최고 내 인생영화	1
1976	랑종으로 버린 눈 마블로 다시 정화시킴	1
1977	기대 이상이었습니다!!	1
1979	정말 최고의 영화입니다.!!!! 단언컨데, 이 영화 영화관 가서 안 보면 평생 후회합니다. !!!이유는 내용이 마블 역사에 유의미하며, 현재 우리가 살아가는 사회에 무엇이 배척되어야하는 지 비유적으로 잘 알려줍니다. 액션신 정말 돈 안 아까워요! 꼭꼭 보러가셔야합니다. !!!마스크 꼭 끼고, 절대 한순간도 벗지말고, 사람 없는 시간대에 꼭 가셔서 감상하시길 추천드립니다.	1
1980	기대한 만큼 재밌게 봤네요 스칼렛 누님 단독이자 마지막 나타샤라 10점 드립니다 고생했어요	1
1981	나타샤 보러 가서 옐레나에 치여올 수 있음	1
1984	연기구멍 없고 액션도 좋고 스토리도 굿	1
1985	재밌어요역시멋있네요	1
1988	재미있었습니다.	1
1989	너무 오래 기다렸음.... 마블만 한 게 없다	1
1990	2년을 기다린 한순이 누나 최고다!!!	1
1994	마블 영화 하나도 안 본 마알못인데도 재밌었어요	1
1995	보고 싶을 겁니다 나타샤	1
1996	존잼짱잼개잼	1
1997	많은 분들이 마블이라서 스토리를 중심으로 볼 것이라고 생각했겠지만내용, 작품성이 정말 세밀하게 잘 표현된것 같습니다.그리고 처음 시작할때 노래 캐리특히 역대 영화 통틀어서 액션씬은 정말 역대급인듯	1
1999	시간이 아깝지 않게 재미있게 보았습니다~!	1
2002	연기면 연기.. 액션이면 액션 진지하지만 코믹스러운 연출까지 전부 완벽했음 이걸 왜 이제서야 내주는지도 의문일 정도로 완벽한 영화 정말 고생많았어요 스칼렛 요한슨	1
2003	마블 페이즈 4의 시작을 알리는 영화인 블랙 위도우 솔로 무비, 기대만큼 재밌게 봤습니다.	1
2005	초반 연출이 훌륭하다 아역들도 연기잘하고 잘어울림	1
2006	화려한 액션을 보면서 감탄하면서도그녀와 헤어지는 것이 너무 아쉬웠던 영화!마지막 이별은 화끈하게!	1
2007	평점	0
2008	주구장창 돼도 않는 감성팔이에, 웃기지도 않는 드립에, 90년대 액션씬에;; 나쁜 사람=남자들, 착한 사람=여자들 ㅋㅋㅋ 이런 게 여권신장에 도움이 된다고 생각하세요? 진심으로? 여자 평점 봐.. 진짜 신물난다. 작품으로 좀 평가를 하세요. 여자여자하면 무조건 박수치지 마시고요..	0
2011	오랜만에극장에서보는마블.자주해줘요ㅜ	1
2012	마블 드라마 몇개패스했는데 챙겨봐야겠오요~~	1
2016	개연성 있는 스토리에 화려한 액션~ 영화보는 시간내내 지루할 틈이 없었네요~깨알 유머는 덤 ㅎㅎ추천합니다.	1
2018	개봉전에 어떻게 블랙 위도우가 됐는지 얘기가 나올 줄 알았는데 블랙 위도우에 중요한 가족이란 주제로 영화를 풀이한게 더 어울리지 않았나 싶음 어떤 캐릭터로 계속 마블식 유머를 시도했지만 솔직히 그건 별로.. 그래도 액션은 괜찮았음. 개인적으로 원년멤버를 좋아해서 그런가 이 한편으로 끝내기엔 솔직히 조금 아쉬움 윈터솔져가 세뇌됐을 때 만났던 얘기처럼 못 다한 얘기가 아직 남았는데 페이즈4와 별개로 드라마 로키처럼 따로 볼 수 있었으면 좋겠음	1
2020	만족한 마블 영화 입니다	1
2022	액션도많고보는내내재밌게봤던거같아요	1
2023	와 퓨누나 마블갔다고 이래 매력찢어버림 우째 나 죽어 ㅠㅠㅠ미드소마때랑 180도 바뀌어도 매력이 둘다 터지니 ㅠㅠ 나 죽어 ㅠㅠㅠ 노래도 잘하는디 ㅠㅠㅠ 러시아식 영어라니 영국인이 ㅠㅠㅠ 누나 나죽어 ㅠㅠㅠ	1
2025	슈퍼히어로가 초능력이 없어도 재밋을 수 있다는걸 보여준 작품	1
2027	와 액션 장난아니네요!재밋게 봤습니다.	1
2029	역시 마블은 기대만큼 만족을 주는군요.엔드게임에서 여러 히어로들이 사라졌지만, 시리즈 대비 유독 블랙위도우의 이야기는 상대적으로 적었는데, 이번 영화로 블랙위도우의 이야기를 충분히 봤고, 또 아쉬움 없이 보낼수 있을것 같군요.동생을 주목하세요!	1
2030	플로렌스가 매력있네요 요한슨 비중이 생각보다 적어 아쉬웠어요	1
2031	스칼렛 요한슨x플퓨 사랑해	1
2032	여동생이 너무 이쁘게 나온다,,, 완전 매력	1
2033	마블히어로들이 하나같이 개성있다보니 위도우의 대해서는 그렇게 생각해본적없는 캐릭이다. 그래도 각종 마블 히어로영화에 등장했는데 지금 생각해보면 엔드게임에서의 역활때문 아닐까? 라는 생각도 든다. 위도우를 보고 나서야 그녀의 선택과 행동의 퍼즐이 딱 맞춰지니말이다. 일딴 다 떠나서 이 영화만 놓고 보면 나름 연출 구성이 잘되어있다. 그렇다보니 몰입도가 확 올라가는것이 가장 큰 장점인듯하다. 맨마지막 쿠키장면을 보고 하.. 킬링타임영화로도 좋지만 무엇보다 부족한 부분을 채워주는 의미가 있는것같아 좋았다.	1
2034	액션좋았음.스토리나전개,중간중간티키타카가좀당황은스러웠으나..스칼렛요한슨잘가..	1
2036	개재밌음 자꾸 생각나요 ㄹㅇ	1
2037	그래도 돈이 아깝지는 않구만	1
2038	전체적으로 너무 쉽게 가려고 했고마블 10년동안 궁금했던 건 대충 넘어가고2대를 위해 1대가 소모품으로 쓰인 영화.	0
2039	액션과 가족드라마의 두 대비되는 장르를 완전히 녹여내는건 오직 마블만이 가능한 영역. 앞으로의 작품들이 더욱 기대된다	1
2041	진짜 우리나라 영화는 아직도 한참 멀었다는걸 다시 한번 느꼈다 너무나 갭 차이가 크다 그냥 우리나라는 뭔가 메세지 적인것만 가능하지 sf 액션은 아직도 갭차이가 하늘과 땅 차이인듯....	1
2042	초반 연출은 정말 좋았던거 같다. 근데, 21년 뒤 나오고부터 가족영화하곘다고 하는 부분이나 여러 구도나 전반적으로 별로였고 액션도 그냥 여기저기서 짜집기한 느낌에 공중씬은 어정쩡 했다. 또 cg 티가 심하게 나는 부분이 좀 보인것도 아쉽다. 초반 연출이 마블거 본거중에 상위권급이라 그걸로 3점	0
2043	굿굿	1
2045	액션연출이참멋있었다	1
2046	설산을 배경으로 한 산사태, 그리고 그곳을 탈출하는 아슬아슬한 씬은 압도적. 되도록이면 큰 화면, 좋은 사운드가 있는 영화관에서 관람하시길 추천합니다. 영화 괜찮아요.	1
2047	내가 이상한건가, 나 이외의 사람들이 이상한건가.이 영화가 왜 재미있다는건지 모르겠다.정말 졸렸고, 재미없었다.후회된다. 왜 이걸 봤을까. 원더우먼과 쌍벽을 이룬다고 생각한다.물론 원더우먼이 진다. ㅋㅋㅋ 진짜 원더우먼은 아니었다.	0
2051	재미있다그낭보세요후회안합니다진짜잼납니다	1
2052	개성넘치는 가족들이 다시 모여서 만든 명작	1
2053	와 대박 재미 끝내 줍니다	1
2054	역시 마블ㅎㅎㅎ핵꿀잼	1
2055	공중액션씬 좋았음. 생각보다 괜찮.	1
2058	마블 사랑해 스칼렛 요한슨 사랑해..	1
2059	오랜만에 마블영화 봐서 좋았다 역시 존잼이였구 나타샤 개사랑해	1
2060	마블영화는 대부분 영화관에서 보는데 블랙위도우도 꼭 영화관에서 보세요 큰화면에서 주는 감동은 최고입니다	1
2062	진짜 너무 재밌었다??	1
2063	진짜 잼있다고?? 진짜?	0
2064	존나 재밌어. 재밌으니까 2편 빨랑 내놔라고 할려했는데 쿠키가...쿠키가!!!ㅠㅠㅜ	1
